FIGHTER 1,HEIGHT 1,WEIGHT 1,REACH 1,STANCE 1,DATE OF BIRTH 1,SIGNIFICANT STRIKES LANDED PER MINUTE 1,SIGNIFICANT STRIKING ACCURACY 1,SIGNIFICANT STRIKES ABSORBED PER MINUTE 1,SIGNIFICANT STRIKE DEFENCE 1,AVERAGE TAKEDOWNS LANDED PER 15 MINUTES 1,TAKE DOWN ACCURACY 1,TAKEDOWN DEFENSE 1,AVERAGE SUBMISSIONS 1,WIN/LOSS PERCENTAGE 1,WINS 1,LOSSES 1,DRAWS 1,NO CONTESTS 1,FIGHTER 2,HEIGHT 2,WEIGHT 2,REACH 2,STANCE 2,DATE OF BIRTH 2,SIGNIFICANT STRIKES LANDED PER MINUTE 2,SIGNIFICANT STRIKING ACCURACY 2,SIGNIFICANT STRIKES ABSORBED PER MINUTE 2,SIGNIFICANT STRIKE DEFENCE 2,AVERAGE TAKEDOWNS LANDED PER 15 MINUTES 2,TAKE DOWN ACCURACY 2,TAKEDOWN DEFENSE 2,AVERAGE SUBMISSIONS 2,WIN/LOSS PERCENTAGE 2,WINS 2,LOSSES 2,DRAWS 2,NO CONTESTS 2,WINNER
Vitor Miranda,73.0,185.0,77.0,Orthodox,45.0,2.98,0.45,2.95,0.58,0.95,0.55,0.5,0.2,0.706,12.0,5.0,0.0,0.0,Jake Collier,75.0,230.0,78.0,Orthodox,36.0,5.8,0.44,5.08,0.5,0.71,0.33,0.67,0.6,0.565,13.0,10.0,0.0,0.0,1
Tamires Vidal,66.0,135.0,68.0,Orthodox,26.0,4.25,0.55,4.53,0.58,0.0,0.0,0.4,0.8,0.778,7.0,2.0,0.0,0.0,Ramona Pascual,67.0,135.0,66.0,Southpaw,36.0,3.87,0.57,8.43,0.46,1.81,0.19,1.0,0.0,0.545,6.0,5.0,0.0,0.0,1
Rashad Evans,72.0,205.0,75.0,Orthodox,45.0,2.14,0.37,2.42,0.63,2.98,0.44,0.73,0.0,0.679,19.0,8.0,1.0,0.0,Jason Lambert,75.0,185.0,75.0,Orthodox,49.0,3.21,0.58,1.84,0.5,1.35,0.36,0.28,2.4,0.667,26.0,13.0,0.0,0.0,1
Sage Northcutt,72.0,170.0,71.0,Orthodox,28.0,3.58,0.52,1.96,0.58,1.81,0.34,0.41,0.6,0.846,11.0,2.0,0.0,0.0,Zak Ottow,71.0,170.0,72.0,Orthodox,38.0,2.63,0.36,2.73,0.58,0.97,0.29,0.57,0.4,0.708,17.0,7.0,0.0,0.0,1
Roman Dolidze,74.0,185.0,76.0,Orthodox,36.0,2.62,0.39,3.36,0.51,1.3,0.4,0.33,1.3,0.8,12.0,3.0,0.0,0.0,Kyle Daukaus,75.0,185.0,76.0,Southpaw,31.0,3.22,0.52,2.94,0.42,2.12,0.25,0.82,1.9,0.688,11.0,4.0,0.0,1.0,1
Sergey Morozov,66.0,135.0,67.0,Orthodox,35.0,3.01,0.43,2.97,0.61,3.63,0.31,0.68,0.0,0.792,19.0,5.0,0.0,0.0,Journey Newson,65.0,135.0,67.0,Orthodox,35.0,2.64,0.32,2.57,0.64,0.56,0.16,0.43,0.3,0.625,10.0,5.0,0.0,1.0,1
Mark Bocek,68.0,155.0,75.0,Orthodox,43.0,2.34,0.43,2.32,0.6,3.65,0.36,0.31,1.3,0.706,12.0,5.0,0.0,0.0,Joe Brammer,68.0,155.0,0.0,Orthodox,41.0,2.15,0.31,2.8,0.56,0.81,0.5,0.5,0.0,0.636,7.0,3.0,1.0,0.0,1
Ryan Laflare,73.0,170.0,74.0,Southpaw,41.0,2.89,0.4,1.86,0.63,2.13,0.44,0.58,0.2,0.824,14.0,3.0,0.0,0.0,Anthony Rocco Martin,72.0,170.0,73.0,Orthodox,35.0,2.68,0.37,2.59,0.58,0.71,0.27,0.68,1.0,0.739,17.0,6.0,0.0,0.0,0
Takanori Gomi,67.0,155.0,70.0,Southpaw,46.0,3.81,0.41,3.52,0.6,1.23,0.65,0.63,0.8,0.7,35.0,14.0,0.0,1.0,Eiji Mitsuoka,67.0,145.0,0.0,Southpaw,48.0,1.49,0.49,2.26,0.45,2.3,0.36,0.2,1.6,0.621,18.0,9.0,2.0,0.0,1
Erik Koch,70.0,170.0,71.0,Southpaw,36.0,2.33,0.42,2.82,0.47,1.02,0.42,0.81,1.0,0.727,16.0,6.0,0.0,0.0,Dustin Poirier,69.0,155.0,72.0,Southpaw,35.0,5.49,0.5,4.3,0.53,1.36,0.36,0.63,1.2,0.763,29.0,8.0,0.0,1.0,0
Mark Munoz,72.0,185.0,71.0,Orthodox,46.0,3.12,0.51,2.26,0.57,3.17,0.29,0.57,0.6,0.7,14.0,6.0,0.0,0.0,Ryan Jensen,73.0,185.0,76.0,Orthodox,47.0,2.84,0.39,2.99,0.59,1.55,0.5,0.31,1.9,0.724,21.0,8.0,0.0,0.0,1
Daniel Kelly,72.0,185.0,70.0,Southpaw,47.0,3.62,0.38,4.64,0.61,1.86,0.34,0.78,0.3,0.765,13.0,4.0,0.0,0.0,Chris Camozzi,74.0,185.0,75.0,Orthodox,38.0,3.57,0.44,2.96,0.56,0.27,0.19,0.57,0.5,0.649,24.0,13.0,0.0,0.0,1
Jim Miller,68.0,155.0,71.0,Southpaw,41.0,2.96,0.42,3.18,0.58,1.58,0.44,0.48,1.7,0.673,37.0,17.0,0.0,1.0,Gabriel Benitez,68.0,155.0,71.0,Southpaw,36.0,4.92,0.41,4.26,0.62,0.24,0.5,0.55,1.0,0.657,23.0,12.0,0.0,0.0,1
Ji Yeon Kim,67.0,125.0,72.0,Orthodox,35.0,5.37,0.36,5.41,0.56,0.0,0.0,0.5,0.1,0.5,9.0,7.0,2.0,0.0,Melinda Fabian,66.0,125.0,66.0,Orthodox,37.0,4.03,0.41,4.0,0.62,0.0,0.0,1.0,0.0,0.4,4.0,4.0,2.0,0.0,1
Tecia Torres,61.0,115.0,60.0,Orthodox,35.0,4.74,0.48,3.59,0.61,0.66,0.14,0.61,0.1,0.684,13.0,6.0,0.0,0.0,Marina Rodriguez,66.0,115.0,65.0,Orthodox,37.0,4.77,0.48,2.89,0.56,0.25,0.42,0.66,0.2,0.773,17.0,3.0,2.0,0.0,0
Elvis Sinosic,75.0,205.0,77.0,Orthodox,53.0,1.13,0.37,4.6,0.53,0.0,0.0,0.0,1.2,0.35,7.0,11.0,2.0,0.0,Jeremy Horn,73.0,185.0,74.0,Orthodox,49.0,1.19,0.39,1.99,0.55,1.83,0.38,0.29,1.1,0.765,91.0,22.0,5.0,1.0,1
James Krause,74.0,170.0,73.0,Orthodox,38.0,4.79,0.49,4.11,0.61,0.96,0.18,0.59,0.9,0.757,28.0,9.0,0.0,0.0,Shane Campbell,72.0,155.0,71.0,Orthodox,37.0,3.99,0.59,3.19,0.55,1.36,0.28,0.82,0.0,0.7,14.0,6.0,0.0,0.0,1
Beneil Dariush,70.0,155.0,72.0,Southpaw,35.0,3.78,0.48,2.65,0.57,1.9,0.34,0.8,0.9,0.759,22.0,6.0,1.0,0.0,Drew Dober,68.0,155.0,70.0,Southpaw,36.0,4.34,0.4,4.23,0.51,0.71,0.18,0.56,0.1,0.659,27.0,13.0,0.0,1.0,1
Yushin Okami,74.0,170.0,75.0,Southpaw,43.0,2.06,0.38,2.25,0.6,1.98,0.39,0.84,0.5,0.739,34.0,12.0,0.0,0.0,Jason Macdonald,75.0,185.0,80.0,Orthodox,49.0,1.55,0.52,2.7,0.46,1.43,0.16,0.35,2.0,0.61,25.0,16.0,0.0,0.0,1
Katlyn Cerminara,69.0,125.0,68.0,Orthodox,36.0,4.59,0.34,4.41,0.63,0.27,0.15,0.54,0.3,0.783,18.0,5.0,0.0,0.0,Irene Aldana,69.0,135.0,68.0,Orthodox,36.0,5.24,0.4,6.33,0.57,0.16,0.5,0.76,0.2,0.682,15.0,7.0,0.0,0.0,1
Ryan Benoit,65.0,125.0,68.0,Orthodox,35.0,2.88,0.39,3.65,0.58,0.28,0.22,0.72,0.4,0.556,10.0,8.0,0.0,0.0,Zarrukh Adashev,65.0,125.0,65.0,Southpaw,32.0,3.65,0.4,3.04,0.64,0.0,0.0,1.0,0.5,0.5,4.0,4.0,0.0,0.0,0
Marcus Mcghee,68.0,135.0,69.0,Orthodox,34.0,5.43,0.51,2.52,0.71,0.84,0.33,1.0,0.8,0.9,9.0,1.0,0.0,0.0,Gaston Bolanos,67.0,135.0,69.0,Orthodox,32.0,3.88,0.43,3.49,0.49,0.0,0.0,0.5,0.0,0.636,7.0,4.0,0.0,0.0,1
Matt Mitrione,75.0,265.0,82.0,Switch,46.0,3.55,0.5,2.79,0.64,0.0,0.0,0.55,0.7,0.706,12.0,5.0,0.0,0.0,Shawn Jordan,72.0,260.0,75.0,Southpaw,40.0,2.87,0.5,3.3,0.47,1.97,0.38,0.76,0.1,0.704,19.0,8.0,0.0,0.0,1
Marcus Bossett,73.0,215.0,0.0,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,3.0,0.0,0.0,Eldo Xavier Dias,71.0,180.0,0.0,--,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
Joe Lauzon,70.0,155.0,71.0,Orthodox,40.0,2.84,0.39,5.39,0.54,2.39,0.45,0.54,2.0,0.636,28.0,16.0,0.0,0.0,Marcin Held,69.0,155.0,71.0,Orthodox,32.0,1.41,0.34,2.02,0.47,2.46,0.46,0.37,1.3,0.767,23.0,7.0,0.0,0.0,1
Khalil Rountree Jr.,73.0,205.0,76.0,Southpaw,34.0,3.84,0.39,4.18,0.5,0.0,0.0,0.58,0.1,0.7,14.0,5.0,0.0,1.0,Marcin Prachnio,75.0,205.0,74.0,Orthodox,36.0,5.61,0.55,3.3,0.54,0.17,0.2,0.58,0.0,0.708,17.0,7.0,0.0,0.0,0
Joe Lauzon,70.0,155.0,71.0,Orthodox,40.0,2.84,0.39,5.39,0.54,2.39,0.45,0.54,2.0,0.636,28.0,16.0,0.0,0.0,Jens Pulver,67.0,145.0,70.0,Southpaw,50.0,2.12,0.37,3.13,0.56,0.22,0.33,0.63,0.3,0.574,27.0,19.0,1.0,0.0,1
Juan Adams,77.0,265.0,80.0,Orthodox,32.0,7.09,0.55,4.06,0.34,0.91,0.66,0.57,0.0,0.625,5.0,3.0,0.0,0.0,Justin Tafa,72.0,264.0,74.0,Southpaw,31.0,5.13,0.55,5.93,0.49,0.0,0.0,1.0,0.0,0.636,7.0,3.0,0.0,1.0,0
Chris Wade,70.0,155.0,70.0,Orthodox,37.0,1.7,0.53,1.75,0.51,2.6,0.51,0.55,1.1,0.8,12.0,3.0,0.0,0.0,Christos Giagos,70.0,155.0,71.0,Orthodox,34.0,2.98,0.42,2.95,0.51,2.93,0.37,0.52,0.4,0.645,20.0,11.0,0.0,0.0,1
Demian Maia,73.0,170.0,72.0,Southpaw,47.0,1.8,0.43,2.07,0.63,2.49,0.24,0.61,1.0,0.718,28.0,11.0,0.0,0.0,Carlos Condit,74.0,170.0,75.0,Orthodox,40.0,3.66,0.39,2.67,0.55,0.59,0.46,0.38,1.0,0.696,32.0,14.0,0.0,0.0,1
Robert Whittaker,72.0,185.0,73.0,Orthodox,34.0,4.57,0.42,3.45,0.59,0.81,0.38,0.82,0.0,0.788,26.0,7.0,0.0,0.0,Paulo Costa,73.0,185.0,72.0,Orthodox,33.0,6.2,0.58,6.38,0.47,0.45,0.75,0.8,0.0,0.824,14.0,3.0,0.0,0.0,1
Nick Hein,66.0,155.0,66.0,Southpaw,40.0,2.65,0.35,3.61,0.59,0.86,0.33,0.83,0.0,0.7,14.0,5.0,0.0,1.0,Drew Dober,68.0,155.0,70.0,Southpaw,36.0,4.34,0.4,4.23,0.51,0.71,0.18,0.56,0.1,0.659,27.0,13.0,0.0,1.0,1
Rani Yahya,66.0,135.0,67.0,Orthodox,40.0,1.59,0.37,1.77,0.5,2.86,0.32,0.24,1.9,0.683,28.0,11.0,1.0,1.0,Montel Jackson,70.0,135.0,75.0,Southpaw,32.0,3.36,0.53,1.41,0.64,3.42,0.71,0.69,0.3,0.867,13.0,2.0,0.0,0.0,0
Phil Davis,74.0,205.0,79.0,Orthodox,40.0,2.85,0.34,1.33,0.72,2.99,0.38,0.72,0.6,0.773,17.0,4.0,0.0,1.0,Vinny Magalhaes,75.0,205.0,75.0,Orthodox,40.0,2.14,0.24,3.97,0.68,1.55,0.44,0.66,0.8,0.583,14.0,9.0,0.0,1.0,1
Miranda Granger,67.0,115.0,68.0,Orthodox,32.0,2.79,0.47,2.57,0.57,0.0,0.0,0.33,0.0,0.7,7.0,3.0,0.0,0.0,Amanda Lemos,64.0,115.0,65.0,Southpaw,37.0,3.43,0.54,4.21,0.44,0.98,0.63,0.57,0.7,0.778,14.0,3.0,1.0,0.0,0
Sijara Eubanks,64.0,125.0,67.0,Orthodox,39.0,4.3,0.43,3.43,0.57,1.9,0.44,0.66,0.3,0.533,8.0,7.0,0.0,0.0,Pannie Kianzad,67.0,135.0,66.0,Orthodox,33.0,4.87,0.49,3.75,0.53,0.35,0.3,0.71,0.1,0.708,17.0,7.0,0.0,0.0,0
Vaughan Lee,66.0,125.0,66.0,Orthodox,42.0,3.47,0.47,2.07,0.7,0.81,0.33,0.72,1.0,0.5,14.0,13.0,1.0,0.0,Motonobu Tezuka,67.0,135.0,0.0,Southpaw,37.0,0.87,0.23,2.8,0.51,1.5,0.11,0.0,0.5,0.596,28.0,12.0,7.0,0.0,1
Deiveson Figueiredo,65.0,135.0,68.0,Orthodox,37.0,3.08,0.55,3.46,0.51,1.65,0.44,0.58,1.6,0.846,22.0,3.0,1.0,0.0,Jarred Brooks,63.0,125.0,62.0,Switch,31.0,2.12,0.46,1.66,0.62,4.54,0.57,0.69,0.6,0.867,13.0,2.0,0.0,0.0,1
Wu Yanan,68.0,135.0,66.0,Orthodox,28.0,4.23,0.41,4.95,0.49,0.62,0.3,0.63,0.2,0.684,13.0,6.0,0.0,0.0,Gina Mazany,66.0,125.0,68.0,Southpaw,36.0,3.73,0.5,3.52,0.5,4.34,0.52,0.33,0.2,0.538,7.0,6.0,0.0,0.0,0
Aljamain Sterling,67.0,145.0,71.0,Orthodox,35.0,4.73,0.52,2.41,0.58,1.97,0.24,0.45,0.8,0.852,23.0,4.0,0.0,0.0,Augusto Mendes,66.0,135.0,65.0,Orthodox,41.0,2.42,0.34,3.91,0.56,1.75,0.33,0.8,0.0,0.75,6.0,2.0,0.0,0.0,1
Michael Chiesa,73.0,170.0,75.0,Southpaw,37.0,1.87,0.4,1.7,0.54,3.33,0.5,0.6,1.0,0.72,18.0,7.0,0.0,0.0,Vicente Luque,71.0,170.0,75.0,Orthodox,33.0,5.17,0.52,5.15,0.52,1.04,0.6,0.62,0.7,0.688,22.0,9.0,1.0,0.0,0
Francis Ngannou,76.0,250.0,83.0,Orthodox,38.0,2.33,0.41,2.16,0.41,0.76,0.62,0.71,0.3,0.85,17.0,3.0,0.0,0.0,Curtis Blaydes,76.0,265.0,80.0,Orthodox,33.0,3.56,0.49,1.89,0.59,5.93,0.53,0.33,0.0,0.773,17.0,4.0,0.0,1.0,1
Miguel Torres,69.0,135.0,76.0,Orthodox,43.0,3.98,0.43,1.86,0.74,0.0,0.0,0.17,1.6,0.83,44.0,9.0,0.0,0.0,Nick Pace,67.0,135.0,68.0,Orthodox,37.0,1.48,0.34,3.14,0.57,2.52,0.43,0.54,0.5,0.727,8.0,3.0,0.0,0.0,1
Francisco Trinaldo,69.0,170.0,70.0,Southpaw,46.0,3.13,0.45,2.67,0.6,0.98,0.42,0.6,0.5,0.757,28.0,9.0,0.0,0.0,Leandro Silva,69.0,155.0,72.0,Orthodox,39.0,2.39,0.48,2.08,0.63,1.76,0.37,0.65,0.4,0.714,20.0,6.0,1.0,1.0,1
Paige Vanzant,64.0,115.0,65.0,Orthodox,30.0,3.35,0.52,2.62,0.42,1.27,0.33,0.34,1.0,0.615,8.0,5.0,0.0,0.0,Kailin Curran,64.0,115.0,65.0,Orthodox,33.0,3.89,0.43,4.75,0.53,2.0,0.57,0.61,0.6,0.444,4.0,5.0,0.0,0.0,1
Pedro Munhoz,66.0,135.0,65.0,Orthodox,38.0,5.45,0.43,6.14,0.56,0.47,0.19,0.82,0.5,0.667,20.0,8.0,0.0,2.0,Justin Scoggins,67.0,125.0,66.0,Southpaw,32.0,3.56,0.51,2.16,0.55,3.42,0.63,0.82,0.5,0.688,11.0,5.0,0.0,0.0,1
Joanderson Brito,68.0,145.0,72.0,Orthodox,29.0,3.32,0.51,2.62,0.47,3.4,0.75,0.5,0.8,0.8,16.0,3.0,1.0,0.0,Lucas Alexander,71.0,145.0,73.0,Orthodox,29.0,5.23,0.55,1.83,0.71,0.0,0.0,0.57,0.0,0.667,8.0,4.0,0.0,0.0,1
Chris Daukaus,75.0,205.0,76.0,Orthodox,35.0,6.05,0.5,4.64,0.55,0.0,0.0,1.0,0.0,0.632,12.0,7.0,0.0,0.0,Parker Porter,72.0,265.0,75.0,Orthodox,39.0,6.55,0.5,6.32,0.51,1.35,0.26,0.66,0.5,0.609,14.0,9.0,0.0,0.0,1
Loma Lookboonmee,61.0,115.0,61.0,Orthodox,28.0,4.1,0.57,2.48,0.53,1.9,0.5,0.72,0.1,0.75,9.0,3.0,0.0,0.0,Elise Reed,63.0,115.0,63.0,Orthodox,32.0,2.66,0.49,3.06,0.52,0.58,0.6,0.42,0.0,0.636,7.0,4.0,0.0,0.0,1
Robert Whittaker,72.0,185.0,73.0,Orthodox,34.0,4.57,0.42,3.45,0.59,0.81,0.38,0.82,0.0,0.788,26.0,7.0,0.0,0.0,Mike Rhodes,73.0,170.0,74.0,Orthodox,35.0,3.2,0.39,4.13,0.64,0.96,0.33,0.75,0.5,0.667,10.0,5.0,0.0,0.0,1
Thiago Silva,74.0,205.0,74.0,Orthodox,42.0,3.92,0.5,2.55,0.67,1.03,0.47,0.7,0.7,0.704,19.0,6.0,0.0,2.0,Keith Jardine,74.0,185.0,76.0,Orthodox,49.0,3.25,0.36,2.98,0.59,1.18,0.45,0.62,0.7,0.567,17.0,11.0,2.0,0.0,1
Justin Lawrence,68.0,145.0,67.0,Orthodox,34.0,3.84,0.35,2.83,0.67,0.72,0.28,0.73,0.0,0.714,10.0,4.0,0.0,0.0,Max Holloway,71.0,145.0,69.0,Orthodox,33.0,7.17,0.47,4.75,0.59,0.27,0.53,0.84,0.3,0.781,25.0,7.0,0.0,0.0,0
Daniel Jolly,73.0,205.0,75.0,Orthodox,40.0,1.32,0.46,3.39,0.44,2.83,0.33,0.5,0.0,0.625,5.0,3.0,0.0,0.0,Khalil Rountree Jr.,73.0,205.0,76.0,Southpaw,34.0,3.84,0.39,4.18,0.5,0.0,0.0,0.58,0.1,0.7,14.0,5.0,0.0,1.0,0
Eric Schafer,75.0,185.0,76.0,Orthodox,47.0,1.89,0.34,3.38,0.56,1.81,0.36,0.5,1.8,0.583,14.0,8.0,2.0,0.0,Rob Macdonald,75.0,205.0,78.0,Orthodox,46.0,1.8,0.5,2.04,0.46,7.19,0.8,0.8,5.4,0.556,5.0,4.0,0.0,0.0,1
Rodrigo Damm,67.0,155.0,71.0,Orthodox,44.0,3.5,0.36,5.61,0.57,0.44,0.16,0.8,0.3,0.591,13.0,9.0,0.0,0.0,Mizuto Hirota,67.0,155.0,67.0,Orthodox,43.0,3.36,0.4,3.5,0.54,1.36,0.5,0.58,0.1,0.6,18.0,10.0,2.0,0.0,1
Paul Felder,71.0,155.0,70.0,Orthodox,40.0,3.7,0.44,3.44,0.48,0.29,0.28,0.64,0.2,0.739,17.0,6.0,0.0,0.0,Dan Hooker,72.0,155.0,75.0,Switch,34.0,5.08,0.48,4.76,0.51,0.79,0.34,0.8,0.4,0.657,23.0,12.0,0.0,0.0,0
Vinc Pichel,70.0,155.0,72.0,Orthodox,42.0,3.56,0.47,2.5,0.58,3.0,0.54,0.23,0.2,0.824,14.0,3.0,0.0,0.0,Austin Hubbard,70.0,155.0,71.0,Orthodox,33.0,3.83,0.46,3.37,0.56,1.55,0.52,0.63,0.0,0.696,16.0,7.0,0.0,0.0,1
Randy Couture,73.0,205.0,75.0,Orthodox,61.0,2.85,0.57,1.53,0.59,2.78,0.46,0.58,0.5,0.633,19.0,11.0,0.0,0.0,Gabriel Gonzaga,74.0,242.0,76.0,Orthodox,45.0,2.12,0.45,2.94,0.57,2.8,0.39,0.66,1.1,0.607,17.0,11.0,0.0,0.0,1
Alex Caceres,70.0,145.0,73.0,Southpaw,36.0,4.16,0.5,2.93,0.63,0.56,0.68,0.64,0.7,0.583,21.0,14.0,0.0,1.0,Chase Hooper,73.0,155.0,74.0,Southpaw,25.0,4.86,0.51,3.59,0.36,1.42,0.22,0.55,2.2,0.765,13.0,3.0,1.0,0.0,1
Tom Breese,75.0,185.0,73.0,Southpaw,33.0,3.34,0.5,2.81,0.6,0.0,0.0,0.7,1.1,0.8,12.0,3.0,0.0,0.0,Keita Nakamura,71.0,170.0,73.0,Southpaw,40.0,2.23,0.36,3.2,0.58,1.65,0.48,0.63,0.3,0.723,34.0,10.0,2.0,1.0,1
Cole Miller,73.0,145.0,73.0,Orthodox,40.0,3.0,0.33,3.88,0.59,0.6,0.36,0.38,1.8,0.636,21.0,11.0,0.0,1.0,Bart Palaszewski,69.0,145.0,70.0,Orthodox,41.0,2.67,0.32,3.97,0.57,0.65,0.31,0.53,0.5,0.679,36.0,17.0,0.0,0.0,1
Kyung Ho Kang,69.0,135.0,73.0,Orthodox,37.0,3.35,0.48,3.33,0.55,1.87,0.57,0.68,0.8,0.633,19.0,10.0,0.0,1.0,Brandon Davis,70.0,135.0,72.0,Orthodox,34.0,4.68,0.35,4.62,0.58,0.74,0.42,0.57,0.1,0.583,14.0,10.0,0.0,0.0,1
Henry Briones,68.0,135.0,69.0,Orthodox,44.0,3.47,0.42,4.68,0.53,0.0,0.0,0.52,0.6,0.64,16.0,8.0,1.0,0.0,Guido Cannetti,66.0,135.0,68.0,Southpaw,45.0,3.44,0.55,2.84,0.51,2.27,0.55,0.64,0.4,0.556,10.0,8.0,0.0,0.0,1
Thiago Tavares,67.0,145.0,70.0,Orthodox,40.0,2.0,0.4,2.31,0.62,3.83,0.42,0.62,1.5,0.724,21.0,7.0,1.0,0.0,Michihiro Omigawa,66.0,145.0,68.0,Orthodox,49.0,2.01,0.39,3.06,0.64,1.19,0.36,0.49,1.5,0.531,17.0,14.0,1.0,0.0,1
Rob Font,68.0,135.0,71.0,Orthodox,37.0,5.53,0.45,3.65,0.56,0.89,0.35,0.46,0.3,0.714,20.0,8.0,0.0,0.0,Deiveson Figueiredo,65.0,135.0,68.0,Orthodox,37.0,3.08,0.55,3.46,0.51,1.65,0.44,0.58,1.6,0.846,22.0,3.0,1.0,0.0,0
Mark Hunt,70.0,265.0,72.0,Orthodox,50.0,2.81,0.43,2.9,0.51,0.51,0.55,0.64,0.2,0.448,13.0,14.0,1.0,1.0,Curtis Blaydes,76.0,265.0,80.0,Orthodox,33.0,3.56,0.49,1.89,0.59,5.93,0.53,0.33,0.0,0.773,17.0,4.0,0.0,1.0,0
Ariane Lipski,66.0,125.0,67.0,Orthodox,30.0,4.27,0.4,4.23,0.52,0.64,0.55,0.79,0.4,0.68,17.0,8.0,0.0,0.0,Melissa Gatto,65.0,125.0,69.0,Orthodox,28.0,3.98,0.48,3.13,0.54,1.18,0.21,0.63,0.3,0.667,8.0,2.0,2.0,0.0,1
Raoni Barcelos,67.0,135.0,67.0,Orthodox,37.0,5.22,0.51,4.79,0.61,1.86,0.32,0.85,0.6,0.783,18.0,5.0,0.0,0.0,Victor Henry,67.0,135.0,68.0,Switch,37.0,8.26,0.54,5.95,0.47,0.0,0.0,0.78,0.6,0.767,23.0,6.0,0.0,1.0,0
Frankie Edgar,66.0,135.0,68.0,Orthodox,43.0,3.77,0.4,2.82,0.65,2.29,0.31,0.65,0.3,0.657,23.0,11.0,1.0,0.0,Tyson Griffin,66.0,145.0,68.0,Orthodox,40.0,3.71,0.41,2.3,0.65,1.87,0.46,0.59,0.9,0.667,16.0,8.0,0.0,0.0,1
Nik Lentz,68.0,145.0,68.0,Orthodox,40.0,3.44,0.47,3.25,0.5,3.3,0.32,0.43,1.2,0.667,30.0,12.0,2.0,1.0,Michael Mcbride,73.0,155.0,0.0,Orthodox,38.0,4.08,0.48,5.85,0.4,1.85,0.42,0.3,1.2,0.727,8.0,3.0,0.0,0.0,1
Roger Huerta,69.0,155.0,70.0,Orthodox,41.0,3.64,0.36,2.33,0.56,2.13,0.46,0.52,0.5,0.676,23.0,9.0,1.0,1.0,Leonard Garcia,70.0,145.0,68.0,Orthodox,45.0,2.77,0.24,4.79,0.52,0.3,0.26,0.42,0.5,0.562,18.0,13.0,1.0,0.0,1
Nick Catone,72.0,185.0,72.0,Southpaw,43.0,2.11,0.44,2.32,0.63,3.71,0.44,0.83,0.5,0.714,10.0,4.0,0.0,0.0,Chris Camozzi,74.0,185.0,75.0,Orthodox,38.0,3.57,0.44,2.96,0.56,0.27,0.19,0.57,0.5,0.649,24.0,13.0,0.0,0.0,0
Yao Zhikui,65.0,125.0,64.0,Orthodox,33.0,1.44,0.21,2.82,0.48,0.66,0.16,0.58,0.0,0.333,2.0,4.0,0.0,0.0,Royston Wee,67.0,135.0,67.0,Orthodox,38.0,1.1,0.6,2.45,0.49,3.38,0.81,0.0,0.0,0.8,4.0,1.0,0.0,0.0,0
Dan Christison,80.0,265.0,0.0,Orthodox,52.0,4.23,0.51,3.88,0.54,0.0,0.0,0.37,1.1,0.741,20.0,7.0,0.0,0.0,Brad Imes,79.0,265.0,0.0,Orthodox,47.0,2.73,0.31,4.24,0.49,1.72,0.71,0.0,1.0,0.65,13.0,7.0,0.0,0.0,1
Joel Sutton,71.0,205.0,0.0,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.286,2.0,4.0,1.0,0.0,Jack Mcglaughlin,0.0,0.0,0.0,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,4.0,0.0,0.0,1
Islam Makhachev,70.0,155.0,70.0,Southpaw,33.0,2.46,0.6,1.27,0.61,3.17,0.6,0.9,1.0,0.962,25.0,1.0,0.0,0.0,Bobby Green,70.0,155.0,71.0,Orthodox,38.0,6.14,0.52,3.74,0.62,1.2,0.37,0.74,0.3,0.646,31.0,15.0,1.0,1.0,1
Jimi Manuwa,73.0,205.0,79.0,Orthodox,44.0,3.43,0.54,3.97,0.49,0.53,0.18,0.7,0.4,0.739,17.0,6.0,0.0,0.0,Jan Blachowicz,74.0,205.0,78.0,Orthodox,41.0,3.41,0.5,2.91,0.53,1.09,0.5,0.68,0.3,0.725,29.0,10.0,1.0,0.0,0
Remco Pardoel,75.0,260.0,0.0,Southpaw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,9.0,6.0,1.0,2.0,Alberta Cerra Leon,68.0,238.0,0.0,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
Ramsey Nijem,71.0,155.0,75.0,Orthodox,36.0,3.05,0.44,1.62,0.62,5.32,0.62,0.55,1.1,0.6,9.0,6.0,0.0,0.0,Justin Edwards,70.0,155.0,70.0,Orthodox,41.0,2.68,0.42,3.32,0.51,2.14,0.26,0.27,1.0,0.643,9.0,5.0,0.0,0.0,1
Ricardo Ramos,69.0,145.0,72.0,Orthodox,29.0,3.21,0.37,3.78,0.57,2.79,0.59,0.72,0.7,0.762,16.0,5.0,0.0,0.0,Danny Chavez,68.0,145.0,67.0,Orthodox,37.0,2.86,0.38,3.83,0.5,1.95,0.6,0.87,0.0,0.647,11.0,5.0,1.0,0.0,1
