FIGHTER 1,HEIGHT 1,WEIGHT 1,REACH 1,STANCE 1,DATE OF BIRTH 1,SIGNIFICANT STRIKES LANDED PER MINUTE 1,SIGNIFICANT STRIKING ACCURACY 1,SIGNIFICANT STRIKES ABSORBED PER MINUTE 1,SIGNIFICANT STRIKE DEFENCE 1,AVERAGE TAKEDOWNS LANDED PER 15 MINUTES 1,TAKE DOWN ACCURACY 1,TAKEDOWN DEFENSE 1,AVERAGE SUBMISSIONS 1,WIN/LOSS PERCENTAGE 1,WINS 1,LOSSES 1,DRAWS 1,NO CONTESTS 1,FIGHTER 2,HEIGHT 2,WEIGHT 2,REACH 2,STANCE 2,DATE OF BIRTH 2,SIGNIFICANT STRIKES LANDED PER MINUTE 2,SIGNIFICANT STRIKING ACCURACY 2,SIGNIFICANT STRIKES ABSORBED PER MINUTE 2,SIGNIFICANT STRIKE DEFENCE 2,AVERAGE TAKEDOWNS LANDED PER 15 MINUTES 2,TAKE DOWN ACCURACY 2,TAKEDOWN DEFENSE 2,AVERAGE SUBMISSIONS 2,WIN/LOSS PERCENTAGE 2,WINS 2,LOSSES 2,DRAWS 2,NO CONTESTS 2,WINNER
Charlie Ward,71.0,170.0,0.0,Orthodox,44.0,1.64,0.19,7.21,0.53,0.0,0.0,0.0,0.0,0.5,3.0,3.0,0.0,0.0,Galore Bofando,71.0,170.0,72.0,Switch,42.0,3.63,0.45,3.63,0.54,2.37,1.0,0.5,0.0,0.625,5.0,3.0,0.0,0.0,0
Bruno Santos,69.0,185.0,0.0,Orthodox,37.0,1.18,0.46,2.27,0.56,3.0,0.37,0.66,0.3,0.882,15.0,2.0,0.0,0.0,Krzysztof Jotko,73.0,185.0,77.0,Southpaw,35.0,2.98,0.42,2.23,0.57,1.33,0.39,0.82,0.1,0.8,24.0,6.0,0.0,0.0,0
Karine Gevorgyan,64.0,125.0,63.0,--,35.0,1.2,0.2,1.8,0.76,0.0,0.0,0.0,0.0,0.5,3.0,3.0,0.0,0.0,Rachael Ostovich,63.0,125.0,62.0,Orthodox,33.0,2.54,0.43,3.97,0.57,2.03,0.83,0.66,0.8,0.4,4.0,6.0,0.0,0.0,0
Chas Skelly,71.0,145.0,72.0,Orthodox,39.0,2.01,0.4,3.21,0.49,1.74,0.34,0.39,2.3,0.826,19.0,3.0,0.0,1.0,Jim Alers,69.0,145.0,71.0,Orthodox,38.0,2.9,0.4,4.38,0.56,2.26,0.41,0.8,0.3,0.765,13.0,3.0,0.0,1.0,1
Islam Makhachev,70.0,155.0,70.0,Southpaw,33.0,2.46,0.6,1.27,0.61,3.17,0.6,0.9,1.0,0.962,25.0,1.0,0.0,0.0,Alexander Volkanovski,66.0,145.0,71.0,Orthodox,36.0,6.16,0.56,3.44,0.58,1.78,0.37,0.7,0.2,0.867,26.0,4.0,0.0,0.0,1
Bj Penn,69.0,155.0,70.0,Orthodox,46.0,2.76,0.48,3.2,0.56,1.19,0.55,0.74,0.5,0.5,16.0,14.0,2.0,0.0,Frankie Edgar,66.0,135.0,68.0,Orthodox,43.0,3.77,0.4,2.82,0.65,2.29,0.31,0.65,0.3,0.657,23.0,11.0,1.0,0.0,0
Mickey Gall,74.0,170.0,74.0,Switch,32.0,2.94,0.46,4.25,0.49,1.21,0.3,0.36,1.9,0.583,7.0,5.0,0.0,0.0,Jordan Williams,73.0,185.0,75.0,Southpaw,34.0,5.83,0.5,5.46,0.35,1.11,0.5,0.85,0.0,0.562,9.0,6.0,0.0,1.0,1
Cory Sandhagen,71.0,135.0,70.0,Switch,32.0,5.33,0.44,3.4,0.58,1.36,0.33,0.64,0.3,0.81,17.0,4.0,0.0,0.0,Tj Dillashaw,66.0,135.0,67.0,Orthodox,38.0,5.09,0.41,3.47,0.62,1.56,0.3,0.77,0.8,0.783,18.0,5.0,0.0,0.0,0
Paulo Thiago,71.0,170.0,74.0,Orthodox,43.0,1.71,0.39,1.99,0.63,1.42,0.31,0.63,1.2,0.667,18.0,9.0,0.0,0.0,Siyar Bahadurzada,71.0,170.0,73.0,Orthodox,40.0,2.91,0.4,3.23,0.49,1.32,0.61,0.62,0.3,0.727,24.0,8.0,1.0,0.0,0
Francisco Trinaldo,69.0,170.0,70.0,Southpaw,46.0,3.13,0.45,2.67,0.6,0.98,0.42,0.6,0.5,0.757,28.0,9.0,0.0,0.0,Mike Rio,70.0,155.0,70.0,Orthodox,43.0,1.68,0.39,2.99,0.53,2.58,0.27,0.0,1.0,0.667,10.0,5.0,0.0,0.0,1
Court Mcgee,71.0,170.0,75.0,Orthodox,40.0,4.63,0.37,3.68,0.6,1.89,0.25,0.69,0.4,0.647,22.0,12.0,0.0,0.0,Sean Strickland,73.0,185.0,76.0,Orthodox,33.0,5.91,0.41,4.33,0.62,0.85,0.64,0.77,0.2,0.824,28.0,6.0,0.0,0.0,0
Geoff Neal,71.0,170.0,75.0,Southpaw,34.0,4.97,0.5,5.47,0.57,0.46,0.44,0.87,0.1,0.714,15.0,6.0,0.0,0.0,Mike Perry,70.0,170.0,71.0,Orthodox,33.0,4.32,0.47,5.16,0.52,0.81,0.4,0.78,0.2,0.636,14.0,8.0,0.0,0.0,1
Tabatha Ricci,61.0,115.0,61.0,Orthodox,29.0,4.41,0.37,4.86,0.59,3.39,0.41,0.71,0.2,0.818,9.0,2.0,0.0,0.0,Gillian Robertson,65.0,115.0,63.0,Orthodox,29.0,2.61,0.46,3.12,0.56,2.53,0.43,0.43,1.0,0.619,13.0,8.0,0.0,0.0,1
Oleg Taktarov,72.0,210.0,0.0,Orthodox,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.708,17.0,5.0,2.0,0.0,Dave Beneteau,74.0,250.0,0.0,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,6.0,5.0,1.0,0.0,1
Javid Basharat,69.0,135.0,69.0,Orthodox,29.0,5.65,0.61,2.5,0.63,2.09,0.5,0.85,0.2,0.933,14.0,0.0,0.0,1.0,Victor Henry,67.0,135.0,68.0,Switch,37.0,8.26,0.54,5.95,0.47,0.0,0.0,0.78,0.6,0.767,23.0,6.0,0.0,1.0,3
Brandon Moreno,67.0,125.0,70.0,Orthodox,31.0,3.87,0.44,3.63,0.59,1.74,0.46,0.63,0.5,0.677,21.0,8.0,2.0,0.0,Deiveson Figueiredo,65.0,135.0,68.0,Orthodox,37.0,3.08,0.55,3.46,0.51,1.65,0.44,0.58,1.6,0.846,22.0,3.0,1.0,0.0,0
Andre Muniz,73.0,185.0,78.0,Southpaw,34.0,1.97,0.5,1.99,0.54,4.23,0.5,0.35,1.2,0.8,24.0,6.0,0.0,0.0,Brendan Allen,74.0,185.0,75.0,Orthodox,29.0,3.87,0.54,3.6,0.46,1.36,0.47,0.58,1.7,0.821,23.0,5.0,0.0,0.0,0
Ed Herman,73.0,205.0,77.0,Orthodox,44.0,3.31,0.48,3.71,0.42,1.96,0.47,0.59,1.0,0.614,27.0,16.0,0.0,1.0,Tim Credeur,75.0,185.0,75.0,Orthodox,47.0,3.59,0.3,3.13,0.57,0.41,1.0,0.5,3.3,0.75,12.0,4.0,0.0,0.0,1
